cik,company.name,form.type,date.filed,nword.hits
732717,AT T INC ,10-K,2024-02-23,40
1428336,HEALTHEQUITY  INC ,10-K,2024-03-22,89
20520,Frontier Communications Parent  Inc ,10-K,2024-02-23,51
94845,LEVI STRAUSS   CO,10-K,2024-01-25,47
1089063,DICKS SPORTING GOODS  INC ,10-K,2024-03-28,42
927066,DAVITA INC ,10-K,2024-02-14,113
732712,VERIZON COMMUNICATIONS INC,10-K,2024-02-09,81
1428439,ROKU  INC,10-K,2024-02-16,117
872589,REGENERON PHARMACEUTICALS  INC ,10-K,2024-02-05,65
927628,CAPITAL ONE FINANCIAL CORP,10-K,2024-02-23,144
790816,BRANDYWINE REALTY TRUST,10-K,2024-02-22,67
1690820,CARVANA CO ,10-K,2024-02-22,63
73756,OCEANEERING INTERNATIONAL INC,10-K,2024-02-23,51
1492422,Apellis Pharmaceuticals  Inc ,10-K,2024-02-27,62
1058090,CHIPOTLE MEXICAN GRILL INC,10-K,2024-02-08,96
1711279,Krystal Biotech  Inc ,10-K,2024-02-26,78
104169,Walmart Inc ,10-K,2024-03-15,123
318154,AMGEN INC,10-K,2024-02-14,128
1889539,Corebridge Financial  Inc ,10-K,2024-02-15,141
1070494,ACADIA PHARMACEUTICALS INC,10-K,2024-02-28,87
700565,FIRST MID BANCSHARES  INC ,10-K,2024-03-06,44
