cik;filing_year
1336917;2019
33185;2018
732717;2025
27419;2014
895421;2021
1032220;2023
1889539;2024
1428336;2025
1368458;2015
33185;2019
27904;2019
354190;2022
789570;2024
20520;2025
5513;2024
1590895;2024
1032220;2021
1140859;2024
866787;2024
1000228;2024
1428336;2019
794367;2019
1455863;2022
1438133;2021
1227500;2022
794367;2020
315293;2023
1057060;2024
773840;2024
72333;2019
1318605;2024
1359841;2023
1364954;2019
94845;2025
1089063;2025
1543151;2024
927066;2025
732712;2025
49071;2024
1136893;2024
40704;2023
1488917;2022
91440;2023
944148;2024
1144215;2023
92380;2019
799167;2023
895421;2022
1646972;2024
1601712;2019
1452857;2021
15615;2024
1071255;2022
1691303;2024
764478;2019
783325;2024
1800;2020
40570;2023
1650729;2021
1428439;2025
715787;2024
837465;2024
14707;2024
1819395;2023
1055160;2022
726601;2020
1041061;2024
913142;2022
1000623;2023
1093691;2024
860731;2018
1632127;2020
896262;2016
700923;2017
49071;2019
752714;2022
1060391;2022
872589;2025
807707;2021
1071255;2020
1517228;2024
1275014;2021
913142;2021
1318484;2024
891482;2021
1660134;2024
1024305;2019
900075;2015
354190;2020
1750;2020
104169;2020
7536;2011
773840;2022
85961;2022
1177609;2019
1323885;2022
105418;2023
927628;2025
1604821;2020
92380;2024
1020710;2021
790816;2025
97745;2019
1288469;2021
1040829;2017
860731;2022
1297184;2021
46080;2019
49071;2022
1401667;2024
1429260;2023
1690820;2025
73756;2025
1324424;2023
917470;2017
353184;2023
1856236;2024
350698;2015
883569;2020
874396;2022
33185;2016
1179929;2018
1831631;2024
853816;2017
318154;2022
912463;2022
19617;2014
891014;2021
18230;2021
1110611;2022
103730;2021
1049502;2024
1580808;2024
49071;2023
1680873;2024
1038074;2017
77476;2023
1278027;2024
1192448;2022
49071;2020
700923;2021
1370450;2022
5513;2023
822818;2021
1393311;2014
1492422;2025
85961;2020
1364954;2021
1113169;2024
1058090;2025
1875444;2023
1711279;2025
752642;2019
49071;2021
1224608;2022
1104506;2019
1546417;2020
1617406;2020
100493;2019
1283699;2022
913142;2024
104169;2025
1384101;2024
1320461;2024
1515673;2017
1643615;2023
318154;2025
1495320;2017
75362;2019
1171155;2024
1331875;2018
1166388;2019
1144980;2020
827876;2024
1324404;2016
83125;2024
1590895;2023
1464790;2020
1013462;2020
1261654;2011
1807846;2022
723612;2016
62709;2014
1563190;2024
935703;2021
1032220;2023
884144;2024
939767;2014
1058090;2019
917470;2020
84839;2014
26172;2023
1677703;2021
56873;2017
1468174;2018
25445;2017
354190;2023
33185;2015
799167;2024
1584509;2024
320193;2022
1401667;2023
1280058;2024
844965;2017
872589;2011
1280058;2021
1501570;2021
55135;2013
93556;2014
924901;2024
849399;2024
1706431;2022
858877;2012
36029;2019
67716;2020
1889539;2025
700565;2025
1048477;2019
1800;2017
1070494;2025
1331875;2017
1060391;2023
944695;2013
