ticker;Event_Date;CAR_10_10_post;CAR_6_6_post;CAR_2_6_post;CAR_2_post;id_2;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m;breach_size_group;market_cap_group;year_group
AAPL;2022-10-28;-0,07346254695474803;-0,081638799888618482;-8,09638215631720e-02;-0,015660390999381910;AAPL2022;28/02/2022;28/02/2022;Information Technology;Sensitive;164,000;INSD;OTHER;91;12;2022;2;8,873972603;2628273,611000;0,282924409;1,969588728;2,417469214;0,067032360;352755,00;Small;Large Cap;modern
ABG;2020-03-02;-0,30675259963506207;-0,020182524000377483;-6,20309262211891e-02;-0,017457347901869348;ABG2019;26/07/2019;26/07/2019;Consumer Discretionary;Cyclical;8,500;UNKN;OTHER;73;197;2019;6;15,120547950;1730,572800;0,063339402;0,285316417;1,561194492;0,001202212;2911,30;Small;Small Cap;early
ABT;2017-02-17;0,03850244639446156;0,047417692405798711;1,17571686549451e-02;0,002838228933301521;ABT2016;19/07/2016;19/07/2016;Health Care;Defensive;75,000;UNKN;OTHER;27;1;2016;3;38,901369860;61993,056210;0,026582615;0,068166326;1,007108774;0,353548779;52666,00;Small;Large Cap;early
ABT;2020-02-21;0,04252508501285481;0,006640658938540445;1,74888998277947e-02;-0,008799879807403585;ABT2019;06/02/2019;06/02/2019;Health Care;Defensive;107,000;PORT;OTHER;18;16600;2019;4;33,438356160;128856,594300;0,054310840;0,118598816;0,607887288;0,056859192;67887,00;Large;Large Cap;early
ACI;2024-04-22;0,00876233339916442;0,015258016445722659;1,73492538765025e-02;-0,011658828435241169;ACI2023;21/04/2023;21/04/2023;Consumer Staples;Defensive;285,000;HACK;HACK;120;32878;2023;6;31,860273970;12062,445120;0,049425844;0,471701547;5,182675159;0,007196494;26221,10;Large;Large Cap;recent
AIR;2020-07-21;-0,22336766270917180;-0,106856158961018050;-6,96258161370663e-02;0,032382032543060879;AIR2019;06/08/2019;06/08/2019;Industrials;Cyclical;5,400;HACK;HACK;149;4431;2019;3;33,882191780;1384,927620;0,002116402;0,004874806;0,758475515;0,194660895;2079,00;Large;Small Cap;early
AIRT;2023-06-27;-0,10004547943091475;-0,040847527448056607;-4,67451253516198e-02;-0,027748986051483442;AIRT2023;30/01/2023;30/01/2023;Industrials;Cyclical;0,584;HACK;HACK;288;1604;2023;2;25,180821920;68,251960;-0,064860046;-1,032846102;11,552419350;0,030628501;189,56;Small;Small Cap;recent
AJG;2020-02-07;0,11206058616792323;0,061287934339747274;6,51922689646408e-03;0,002192093158553747;AJG2019;26/11/2019;26/11/2019;Financials;Cyclical;33,247;DISC;DISC;256;4637;2019;3;27,161643840;17282,768140;0,034061972;0,129725536;0,943342062;0,030802453;19634,80;Large;Large Cap;early
AJG;2022-02-18;0,02685149953198128;0,004237565722888051;6,61793165029079e-03;0,000120091064306561;AJG2021;30/07/2021;30/07/2021;Financials;Cyclical;39,174;HACK;HACK;422;813120;2021;6;8,731506849;29081,417540;0,027194482;0,106577030;0,757745287;0,012073774;33345,00;Large;Large Cap;modern
AJG;2023-02-10;-0,07816986517233460;-0,044341025859620201;-2,90197055755494e-02;-0,037603920186088130;AJG2022;13/12/2022;13/12/2022;Financials;Cyclical;43,640;HACK;HACK;213;14;2022;3;11,887671230;41056,218360;0,028636931;0,121855724;0,684150663;0,008797722;38907,80;Small;Large Cap;modern
AMED;2016-03-10;0,12025859684101474;0,119896344576900765;3,02006215767813e-02;-0,002384280378975278;AMED2015;01/03/2015;02/03/2015;Health Care;Defensive;16,100;PORT;OTHER;6;6909;2015;2;-6,243835616;1013,923190;-0,004409672;-0,007376065;0,244159700;0,040143924;685,09;Large;Small Cap;early
AMGN;2022-02-16;0,06186859735555324;0,044752692602869203;2,72985880116952e-02;0,000890166365821760;AMGN2021;22/06/2021;22/06/2021;Health Care;Defensive;24,200;HACK;HACK;62;1357;2021;3;28,005479450;134125,992000;0,096345949;0,879552239;5,071492537;0,130613913;61165,00;Small;Large Cap;modern
AMPH;2021-03-15;0,05560729131651329;0,046089405166403849;-2,39291822681922e-04;-0,025251305425063465;AMPH2020;28/08/2020;28/08/2020;Health Care;Defensive;1,980;HACK;HACK;118;2193;2020;6;34,813698630;964,623450;0,002222624;0,003487395;0,167211028;0,146762859;631,24;Large;Small Cap;modern
AN;2015-02-11;-0,02742225420374377;-0,010499527070859231;-2,96962689612379e-02;-0,003620624652556206;AN2014;26/05/2014;27/05/2014;Consumer Discretionary;Cyclical;24,000;UNKN;OTHER;82;1499;2014;3;30,145205480;6388,586940;0,049847018;0,202065537;1,027170503;0,008976511;8399,70;Small;Large Cap;early
ANSS;2020-02-27;0,08066692825204071;-0,029134844517530400;-2,26628437295249e-02;0,009962263581620973;ANSS2019;26/07/2019;26/07/2019;Information Technology;Sensitive;4,100;HACK;HACK;72;99;2019;6;17,457534250;18281,918160;0,093264216;0,130682152;0,176192072;0,180226155;4838,89;Small;Large Cap;early
AON;2023-02-17;-0,04780784700590350;-0,034713816426610214;-2,34279209003843e-03;0,000227130144722162;AON2022;26/05/2022;26/05/2022;Financials;Cyclical;50,000;HACK;HACK;513;129682;2022;5;6,720547945;54480,296000;0,079164628;-4,894139887;-22,073724010;0,021098337;32704,00;Large;Large Cap;modern
ARHS;2023-03-09;-0,60748139580278948;-0,575718022669463259;-1,46616668132908e-01;-0,068160030178415196;ARHS2022;22/07/2022;22/07/2022;Consumer Discretionary;Cyclical;2,180;HACK;HACK;119;628;2022;6;31,753424660;774,511270;0,146635730;0,651584444;1,821602804;0,155808378;931,79;Small;Small Cap;modern
ARMK;2024-11-19;0,01123361588675788;0,029708813416020489;3,03672713434246e-02;0,031657025199809320;ARMK2024;19/09/2024;19/09/2024;Consumer Discretionary;Cyclical;266,680;HACK;HACK;28;12;2024;5;27,120547950;10050,835200;0,020712823;0,086385076;1,831747162;0,053058491;12674,37;Small;Large Cap;recent
ARW;2011-02-02;0,04917057803494193;0,034635126018918397;-3,09573907512559e-02;-0,001196117608537484;ARW2010;03/03/2010;03/03/2010;Information Technology;Sensitive;12,700;PORT;OTHER;13;4044;2010;4;21,386301370;3314,444770;0,049958659;0,147524218;0,541709433;0,096486364;9600,54;Large;Small Cap;early
ASUR;2024-02-26;-0,02646582109686032;-0,068855736767376663;3,26769087528156e-02;0,000796936678267217;ASUR2023;02/02/2023;02/02/2023;Industrials;Cyclical;0,581;UNKN;OTHER;3;47;2023;5;34,794520550;273,228140;-0,020758424;-0,048075970;0,054457228;0,068301837;443,87;Small;Small Cap;recent
ATEN;2024-02-29;0,11118248886486272;0,032771159935930237;-8,07638145945100e-03;-0,002928743431041729;ATEN2023;10/02/2023;10/02/2023;Information Technology;Sensitive;0,525;HACK;HACK;18;999;2023;6;22,468493150;1101,256790;0,102537397;0,192278089;0,080913622;0,249465764;389,81;Small;Small Cap;recent
ATRC;2022-02-17;0,17439744607815350;0,129272288765381771;1,17905103209979e-01;0,038284485780558694;ATRC2021;04/06/2021;04/06/2021;Health Care;Defensive;0,875;HACK;HACK;162;3159;2021;6;37,290410960;3407,484800;0,081583002;0,103769256;0,156374288;0,070946122;615,31;Large;Small Cap;modern
AYI;2023-10-26;-0,00345948636125451;-0,017925801100353592;1,32089190440215e-02;-0,005287832095766442;AYI2022;06/12/2022;06/12/2022;Industrials;Cyclical;12,200;HACK;HACK;791;37137;2022;3;24,772602740;5623,284390;0,101510929;0,171678079;0,293142800;0,116737568;3408,50;Large;Large Cap;modern
AZO;2024-10-28;0,00845449287327443;-0,024174177772374218;3,44669139485486e-03;-0,012605876020001053;AZO2023;21/11/2023;21/11/2023;Consumer Discretionary;Cyclical;126,000;HACK;HACK;177;184995;2023;3;21,386301370;44841,205500;0,155003703;-0,560556500;-2,663553501;0,017359261;17176,54;Large;Large Cap;recent
BBY;2019-03-28;0,08770031995676730;0,064386148307079533;3,44317647131948e-02;0,002524421940377190;BBY2018;05/04/2018;05/04/2018;Consumer Discretionary;Cyclical;125,000;HACK;HACK;191;18804;2018;5;10,189041100;19359,120580;0,113479575;0,442831216;0,419842710;0,153476475;12901,00;Large;Large Cap;early
BDC;2021-02-16;-0,08642741318648739;-0,114478521739206307;9,31885774039620e-03;-0,006177907712350829;BDC2020;14/12/2020;14/12/2020;Information Technology;Sensitive;6,200;HACK;HACK;32;5364;2020;2;16,619178080;1887,952470;-0,017569004;-0,073492401;2,178264571;0,159884245;3139,73;Large;Small Cap;modern
