ticker;id_2;filing_date;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m
WMT;WMT2019;2020-03-20;17/10/2019;17/10/2019;Consumer Staples;Defensive;2200;PORT;OTHER;37;4211;2019;5;38,81643836;338256,3141;0,062923106;0,199292879;0,962353855;0,040021988;236495
WMT;WMT2024;2025-03-14;05/04/2024;05/04/2024;Consumer Staples;Defensive;2100;HACK;HACK;217;361;2024;6;37,55616438;477428;0,074517968;0,21355191;0,62678958;0,034506159;260823
KELYA;KELYA2012;2013-02-14;09/03/2012;09/03/2012;Industrials;Cyclical;7,1;DISC;DISC;89;7;2012;6;2,917808219;558,372;0,030629088;0,067611336;0,086504723;0,046646696;1635,7
KR;KR2016;2017-03-28;25/05/2016;25/05/2016;Consumer Staples;Defensive;443;HACK;HACK;126;20;2016;4;28,69863014;32820,48;0,054102178;0,294864139;1,888922066;0,008820709;36505
TGT;TGT2013;2014-03-14;19/12/2013;19/12/2013;Consumer Staples;Defensive;366;CARD;OTHER;22;40000000;2013;5;5,701369863;40222,76505;0,044239445;0,121434292;0,844187049;0,015599398;44553
PEP;PEP2022;2023-02-09;07/10/2022;07/10/2022;Consumer Staples;Defensive;315;UNKN;OTHER;590;949;2022;6;9,279452055;224175,6;0,096651372;0,519563823;2,400664762;0,053738597;92187
ACI;ACI2023;2024-04-22;21/04/2023;21/04/2023;Consumer Staples;Defensive;285;HACK;HACK;120;32878;2023;6;31,86027397;12062,44512;0,049425844;0,471701547;5,182675159;0,007196494;26221,1
ARMK;ARMK2024;2024-11-19;19/09/2024;19/09/2024;Consumer Discretionary;Cyclical;266,68;HACK;HACK;28;12;2024;5;27,12054795;10050,8352;0,020712823;0,086385076;1,831747162;0,053058491;12674,37
JPM;JPM2013;2014-02-20;05/12/2013;05/12/2013;Financials;Cyclical;251,196;UNKN;OTHER;143;1292;2013;5;40,96986301;214811,8165;0,007419415;0,089606039;2,67420258;0,016463626;2415689
DLTR;DLTR2020;2021-03-16;11/09/2020;11/09/2020;Consumer Staples;Defensive;199,327;UNKN;OTHER;126;67;2020;6;28,12054795;21062,81575;0,064838616;0,184192827;1,32319877;0,068452841;20696
AAPL;AAPL2022;2022-10-28;28/02/2022;28/02/2022;Information Technology;Sensitive;164;INSD;OTHER;91;12;2022;2;8,873972603;2628273,611;0,282924409;1,969588728;2,417469214;0,06703236;352755
TSN;TSN2019;2019-11-12;21/01/2019;22/01/2019;Consumer Staples;Defensive;141;UNKN;OTHER;99;450;2019;3;23,00547945;22311,36;0,06109315;0,143587559;0,776310183;0,014623682;33097
T;T2024;2025-02-12;09/04/2024;09/04/2024;Communication Services;Sensitive;140,99;DISC;DISC;14;51226382;2024;3;42,02739726;123784,1888;0,027730848;0,104894033;1,384049362;0,008353703;394795
TSLA;TSLA2023;2024-01-29;18/08/2023;18/08/2023;Consumer Discretionary;Cyclical;140,473;INSD;OTHER;100;75735;2023;6;37,17534247;698215,7;0,140661052;0,239438644;0,15284031;0,153801422;106618
CMG;CMG2024;2025-02-05;24/05/2024;24/05/2024;Consumer Discretionary;Cyclical;130,504;HACK;HACK;312;678;2024;6;19,44657534;4264141,088;0,166671845;0,419666447;1,242117593;0,081324053;9204,37
M;M2018;2019-04-03;03/07/2018;03/07/2018;Consumer Discretionary;Cyclical;130;HACK;HACK;68;162507;2018;3;24,1890411;11236,7808;0,057726373;0,172156619;0,738191423;0,060539752;19194
AZO;AZO2023;2024-10-28;21/11/2023;21/11/2023;Consumer Discretionary;Cyclical;126;HACK;HACK;177;184995;2023;3;21,38630137;44841,2055;0,155003703;-0,5605565;-2,663553501;0,017359261;17176,54
BBY;BBY2018;2019-03-28;05/04/2018;05/04/2018;Consumer Discretionary;Cyclical;125;HACK;HACK;191;18804;2018;5;10,1890411;19359,12058;0,113479575;0,442831216;0,41984271;0,153476475;12901
M;M2019;2020-03-30;14/11/2019;14/11/2019;Consumer Discretionary;Cyclical;123;HACK;HACK;38;135152;2019;5;26,30410959;4966,12817;0,026638957;0,088442841;1,162145209;0,032354053;21172
