ticker;Event_Date;Calendar_Date;Relative_Day;RET;Market_RET
TROW;16-02-2024;27-06-2023;-162;0,020650346;0,011634492
TROW;16-02-2024;28-06-2023;-161;0,011169093;0,000528413
TROW;16-02-2024;29-06-2023;-160;0,006609325;0,004747052
TROW;16-02-2024;30-06-2023;-159;0,007555316;0,011088718
TROW;16-02-2024;03-07-2023;-158;0,011069452;0,002104823
TROW;16-02-2024;05-07-2023;-157;-0,011919477;-0,003314777
TROW;16-02-2024;06-07-2023;-156;-0,018765079;-0,009672379
TROW;16-02-2024;07-07-2023;-155;0,003824788;5,15E-06
TROW;16-02-2024;10-07-2023;-154;0,025492153;0,004152121
TROW;16-02-2024;11-07-2023;-153;0,016454352;0,007737988
TROW;16-02-2024;12-07-2023;-152;0,013751088;0,007997536
TROW;16-02-2024;13-07-2023;-151;0,018973214;0,00933391
TROW;16-02-2024;14-07-2023;-150;-0,018619934;-0,002943813
TROW;16-02-2024;17-07-2023;-149;0,011933379;0,004496224
TROW;16-02-2024;18-07-2023;-148;0,015610418;0,007298953
TROW;16-02-2024;19-07-2023;-147;0,013031493;0,002571118
TROW;16-02-2024;20-07-2023;-146;-0,008410984;-0,007184857
TROW;16-02-2024;21-07-2023;-145;-0,004573805;6,92E-05
TROW;16-02-2024;24-07-2023;-144;0,008270677;0,003273272
TROW;16-02-2024;25-07-2023;-143;-0,010937112;0,002307367
TROW;16-02-2024;26-07-2023;-142;-0,004775069;0,000799228
TROW;16-02-2024;27-07-2023;-141;-0,014225589;-0,007487108
TROW;16-02-2024;28-07-2023;-140;0,082657331;0,010608361
TROW;16-02-2024;31-07-2023;-139;-0,027841312;0,003172964
TROW;16-02-2024;01-08-2023;-138;-0,017605062;-0,003670677
TROW;16-02-2024;02-08-2023;-137;-0,0211413;-0,014385265
TROW;16-02-2024;03-08-2023;-136;-0,012739391;-0,002370088
TROW;16-02-2024;04-08-2023;-135;-0,0124765;-0,004195027
TROW;16-02-2024;07-08-2023;-134;0,009172724;0,007545863
TROW;16-02-2024;08-08-2023;-133;-0,015520494;-0,004755824
TROW;16-02-2024;09-08-2023;-132;-0,015678077;-0,006457085
TROW;16-02-2024;10-08-2023;-131;0,006459605;9,23E-05
TROW;16-02-2024;11-08-2023;-130;-0,012396694;-0,000907215
TROW;16-02-2024;14-08-2023;-129;8,90E-05;0,004055157
TROW;16-02-2024;15-08-2023;-128;-0,022787965;-0,011781109
TROW;16-02-2024;16-08-2023;-127;-0,006285298;-0,007890817
TROW;16-02-2024;17-08-2023;-126;-0,003850032;-0,008394755
TROW;16-02-2024;18-08-2023;-125;-0,009754302;0,000602213
TROW;16-02-2024;21-08-2023;-124;-0,001208066;0,005540383
TROW;16-02-2024;22-08-2023;-123;-0,000651284;-0,00189247
TROW;16-02-2024;23-08-2023;-122;0,027557955;0,011033422
TROW;16-02-2024;24-08-2023;-121;-0,007791972;-0,012547811
TROW;16-02-2024;25-08-2023;-120;0,001735001;0,007024662
TROW;16-02-2024;28-08-2023;-119;0,006289881;0,007091908
TROW;16-02-2024;29-08-2023;-118;0,012229369;0,013163725
TROW;16-02-2024;30-08-2023;-117;-0,000984428;0,003823961
TROW;16-02-2024;31-08-2023;-116;0,005374899;-0,001065417
TROW;16-02-2024;01-09-2023;-115;0,005969883;0,002776132
TROW;16-02-2024;05-09-2023;-114;-0,009654562;-0,006126016
TROW;16-02-2024;06-09-2023;-113;-0,002772561;-0,006390685
TROW;16-02-2024;07-09-2023;-112;-0,013183857;-0,003838741
TROW;16-02-2024;08-09-2023;-111;-0,00717986;0,001011815
TROW;16-02-2024;11-09-2023;-110;0,007872574;0,006482861
TROW;16-02-2024;12-09-2023;-109;0,001634877;-0,004766539
TROW;16-02-2024;13-09-2023;-108;-0,011062749;4,70E-06
TROW;16-02-2024;14-09-2023;-107;0,020264075;0,008997514
TROW;16-02-2024;15-09-2023;-106;-0,003816447;-0,010525483
TROW;16-02-2024;18-09-2023;-105;-0,005290523;-0,000425339
TROW;16-02-2024;19-09-2023;-104;0,014213663;-0,002633335
TROW;16-02-2024;20-09-2023;-103;-0,017359855;-0,008244
TROW;16-02-2024;21-09-2023;-102;-0,023095326;-0,016903348
TROW;16-02-2024;22-09-2023;-101;-0,006875765;-0,001882218
TROW;16-02-2024;25-09-2023;-100;0,004836874;0,003393801
TROW;16-02-2024;26-09-2023;-99;-0,025011798;-0,014142785
TROW;16-02-2024;27-09-2023;-98;0,00232333;0,001059554
TROW;16-02-2024;28-09-2023;-97;0,005794862;0,00662705
TROW;16-02-2024;29-09-2023;-96;0,007009795;-0,002633081
TROW;16-02-2024;02-10-2023;-95;-0,002669972;-0,003498225
TROW;16-02-2024;03-10-2023;-94;-0,042929534;-0,014348828
TROW;16-02-2024;04-10-2023;-93;0,017082917;0,0070749
TROW;16-02-2024;05-10-2023;-92;0,001276888;-0,000735028
TROW;16-02-2024;06-10-2023;-91;0,002158132;0,011482497
TROW;16-02-2024;09-10-2023;-90;0,01830462;0,006120053
TROW;16-02-2024;10-10-2023;-89;0,008074594;0,006469862
TROW;16-02-2024;11-10-2023;-88;-0,006865643;0,003841502
TROW;16-02-2024;12-10-2023;-87;-0,015458473;-0,008455415
TROW;16-02-2024;13-10-2023;-86;-0,018431831;-0,005076711
TROW;16-02-2024;16-10-2023;-85;-0,00377546;0,010957239
TROW;16-02-2024;17-10-2023;-84;0,004787075;0,001091039
TROW;16-02-2024;18-10-2023;-83;-0,026799007;-0,014619306
TROW;16-02-2024;19-10-2023;-82;-0,006935237;-0,009179262
TROW;16-02-2024;20-10-2023;-81;-0,010680908;-0,012192811
TROW;16-02-2024;23-10-2023;-80;-0,008927645;-0,002426206
TROW;16-02-2024;24-10-2023;-79;0,004713523;0,006950256
TROW;16-02-2024;25-10-2023;-78;-0,025542118;-0,014671683
TROW;16-02-2024;26-10-2023;-77;-0,007489034;-0,009123496
TROW;16-02-2024;27-10-2023;-76;-0,047213539;-0,005493583
TROW;16-02-2024;30-10-2023;-75;0,018441;0,010715801
TROW;16-02-2024;31-10-2023;-74;0,005332148;0,006299204
TROW;16-02-2024;01-11-2023;-73;0,00519337;0,00964373
TROW;16-02-2024;02-11-2023;-72;0,036495548;0,02016145
TROW;16-02-2024;03-11-2023;-71;0,014635698;0,011694943
TROW;16-02-2024;06-11-2023;-70;-0,010243546;-0,000779892
TROW;16-02-2024;07-11-2023;-69;-0,006125251;0,002355652
TROW;16-02-2024;08-11-2023;-68;0,007969398;-0,000410929
TROW;16-02-2024;09-11-2023;-67;-0,010014759;-0,008442299
TROW;16-02-2024;10-11-2023;-66;-0,013736556;0,013966778
