ticker;Event_Date;CAR_10_10;CAR_5_5;CAR_1_1;CAR_0_3;CAR_0_1;CARa_1_1;CAR_1_3
AAPL;28-02-2022;-0,0614;-0,0159;-0,0074;0,0115;0,0058;0,0047;0,0104
ABG;26-07-2019;0,0966;0,0998;0,0432;0,0285;0,0466;0,0574;0,0392
ABT;19-07-2016;0,1342;0,0363;0,0115;0,0263;0,0133;0,0166;0,0296
ABT;06-02-2019;-0,0507;0,0008;0,0048;0,0080;0,0030;-0,0028;0,0021
ACAD;04-12-2024;0,0464;0,1004;0,0093;0,1536;0,0264;-0,0224;0,1049
ACI;21-04-2023;0,0066;0,0246;-0,0006;0,0175;-0,0056;0,0028;0,0258
AIR;06-08-2019;0,0998;0,0328;0,0082;0,0160;-0,0023;-0,0063;0,0120
AIRT;30-01-2023;-0,2679;-0,1269;-0,0185;-0,0556;-0,0115;0,0188;-0,0253
AJG;26-11-2019;0,0065;0,0019;0,0011;0,0070;0,0083;0,0037;0,0024
AJG;30-07-2021;-0,0220;-0,0355;0,0128;-0,0169;0,0017;-0,0004;-0,0189
AJG;13-12-2022;-0,0343;-0,0313;-0,0100;-0,0172;-0,0077;-0,0007;-0,0103
AMED;02-03-2015;-0,1357;-0,0807;-0,0436;-0,0798;-0,0179;-0,0306;-0,0925
AMGN;22-06-2021;0,0126;0,0007;-0,0100;0,0022;-0,0091;-0,0050;0,0063
AMGN;25-09-2024;-0,0701;-0,0542;-0,0539;-0,0302;-0,0370;0,0156;0,0224
AMPH;28-08-2020;-0,0574;-0,0398;-0,0044;-0,0260;-0,0026;-0,0002;-0,0235
AN;27-05-2014;0,0033;0,0264;-0,0085;0,0025;-0,0036;0,0001;0,0062
ANSS;26-07-2019;0,0013;-0,0434;-0,0208;-0,0436;-0,0202;-0,0092;-0,0326
AON;26-05-2022;-0,1009;-0,0469;0,0072;-0,0043;0,0271;0,0141;-0,0173
APLS;30-09-2024;-0,2604;-0,1045;-0,0456;-0,0124;-0,0394;-0,0181;0,0089
ARHS;22-07-2022;0,1177;0,0333;-0,0689;-0,0656;-0,0443;-0,0494;-0,0707
ARMK;19-09-2024;0,0046;-0,0306;-0,0343;-0,0417;-0,0219;-0,0286;-0,0483
ARW;03-03-2010;-0,0130;-0,0134;-0,0185;-0,0289;-0,0114;-0,0100;-0,0275
ASUR;02-02-2023;0,0191;0,0010;0,0081;-0,0260;-0,0120;0,0018;-0,0123
ATEN;10-02-2023;-0,0610;-0,0508;0,0040;-0,0100;0,0127;-0,0050;-0,0277
ATRC;04-06-2021;-0,0412;-0,0135;0,0040;-0,0229;-0,0061;-0,0024;-0,0192
AYI;06-12-2022;-0,0970;-0,0618;-0,0038;-0,0092;0,0192;0,0115;-0,0169
AZO;21-11-2023;0,0092;-0,0663;0,0115;-0,0131;0,0080;-0,0045;-0,0257
BBY;05-04-2018;0,0496;0,0229;0,0040;-0,0249;-0,0191;0,0003;-0,0055
BDC;14-12-2020;0,0385;-0,0265;-0,0270;-0,0628;-0,0219;-0,0253;-0,0662
BDC;05-04-2021;-0,1269;-0,0059;-0,0103;-0,0341;-0,0003;-0,0311;-0,0649
BDC;13-02-2023;0,0474;0,0519;0,0140;-0,0059;0,0073;0,0058;-0,0074
BDN;06-08-2024;0,0994;0,0354;0,0086;-0,0213;0,0069;-0,0124;-0,0406
BGS;11-09-2023;-0,1527;-0,1847;-0,0398;-0,0072;-0,0080;0,0115;0,0123
BLKB;14-09-2020;-0,0308;-0,0116;-0,0368;-0,0262;-0,0242;0,0106;0,0086
BLKB;07-07-2023;-0,0127;0,0607;0,0352;0,0184;0,0281;0,0050;-0,0047
BLMN;17-10-2019;0,0526;-0,0111;0,0172;0,0287;0,0004;0,0129;0,0412
BMRN;13-11-2018;-0,0212;-0,0203;-0,0045;0,0178;-0,0042;-0,0099;0,0121
CABO;08-08-2019;0,0296;0,0219;0,0251;0,0356;0,0393;0,0047;0,0011
