ticker;Event_Date;Calendar_Date;Relative_Day;RET;Market_RET
TROW;02-06-2023;10-10-2022;-162;-0,0029;-0,0082
TROW;02-06-2023;11-10-2022;-161;-0,0237;-0,0064
TROW;02-06-2023;12-10-2022;-160;-0,0514;-0,0029
TROW;02-06-2023;13-10-2022;-159;0,0397;0,0234
TROW;02-06-2023;14-10-2022;-158;-0,0358;-0,0237
TROW;02-06-2023;17-10-2022;-157;0,0457;0,0267
TROW;02-06-2023;18-10-2022;-156;0,0128;0,0116
TROW;02-06-2023;19-10-2022;-155;-0,0285;-0,0089
TROW;02-06-2023;20-10-2022;-154;-0,0141;-0,0075
TROW;02-06-2023;21-10-2022;-153;0,0281;0,0221
TROW;02-06-2023;24-10-2022;-152;0,0183;0,0087
TROW;02-06-2023;25-10-2022;-151;0,0411;0,0183
TROW;02-06-2023;26-10-2022;-150;0,0035;-0,0046
TROW;02-06-2023;27-10-2022;-149;-0,0223;-0,0041
TROW;02-06-2023;28-10-2022;-148;0,0188;0,0213
TROW;02-06-2023;31-10-2022;-147;-0,0228;-0,006
TROW;02-06-2023;01-11-2022;-146;0,005;-0,0022
TROW;02-06-2023;02-11-2022;-145;-0,019;-0,0251
TROW;02-06-2023;03-11-2022;-144;-0,0329;-0,0089
TROW;02-06-2023;04-11-2022;-143;0,0159;0,0132
TROW;02-06-2023;07-11-2022;-142;0,0189;0,0081
TROW;02-06-2023;08-11-2022;-141;0,0412;0,0053
TROW;02-06-2023;09-11-2022;-140;-0,0181;-0,0211
TROW;02-06-2023;10-11-2022;-139;0,1636;0,0553
TROW;02-06-2023;11-11-2022;-138;0,0697;0,0105
TROW;02-06-2023;14-11-2022;-137;-0,0588;-0,0095
TROW;02-06-2023;15-11-2022;-136;0,0068;0,0102
TROW;02-06-2023;16-11-2022;-135;-0,0196;-0,0097
TROW;02-06-2023;17-11-2022;-134;-0,0089;-0,0041
TROW;02-06-2023;18-11-2022;-133;-0,0057;0,0042
TROW;02-06-2023;21-11-2022;-132;-0,0088;-0,0046
TROW;02-06-2023;22-11-2022;-131;0,0283;0,0132
TROW;02-06-2023;23-11-2022;-130;-0,0002;0,0059
TROW;02-06-2023;25-11-2022;-129;0,0052;0,0004
TROW;02-06-2023;28-11-2022;-128;-0,0313;-0,0156
TROW;02-06-2023;29-11-2022;-127;-0,0052;-0,0007
TROW;02-06-2023;30-11-2022;-126;0,0366;0,0294
TROW;02-06-2023;01-12-2022;-125;0,0175;0,0002
TROW;02-06-2023;02-12-2022;-124;-0,0085;-0,0006
TROW;02-06-2023;05-12-2022;-123;-0,0189;-0,0195
TROW;02-06-2023;06-12-2022;-122;-0,0186;-0,0141
TROW;02-06-2023;07-12-2022;-121;-0,0007;-0,0019
TROW;02-06-2023;08-12-2022;-120;0,0083;0,0074
TROW;02-06-2023;09-12-2022;-119;-0,0199;-0,0075
TROW;02-06-2023;12-12-2022;-118;0,0097;0,013
TROW;02-06-2023;13-12-2022;-117;0,0205;0,0073
TROW;02-06-2023;14-12-2022;-116;-0,0396;-0,0055
TROW;02-06-2023;15-12-2022;-115;-0,0457;-0,0241
TROW;02-06-2023;16-12-2022;-114;-0,0129;-0,0103
TROW;02-06-2023;19-12-2022;-113;-0,009;-0,0096
TROW;02-06-2023;20-12-2022;-112;-0,002;0,0019
TROW;02-06-2023;21-12-2022;-111;0,0342;0,0146
TROW;02-06-2023;22-12-2022;-110;-0,0245;-0,014
TROW;02-06-2023;23-12-2022;-109;0,0076;0,0055
TROW;02-06-2023;27-12-2022;-108;-0,0035;-0,0039
TROW;02-06-2023;28-12-2022;-107;-0,0239;-0,0124
TROW;02-06-2023;29-12-2022;-106;0,0301;0,0183
TROW;02-06-2023;30-12-2022;-105;-0,0204;-0,0025
TROW;02-06-2023;03-01-2023;-104;0,0008;-0,0039
TROW;02-06-2023;04-01-2023;-103;0,0202;0,0096
TROW;02-06-2023;05-01-2023;-102;-0,0283;-0,011
TROW;02-06-2023;06-01-2023;-101;0,0377;0,0223
TROW;02-06-2023;09-01-2023;-100;0,0228;0,0011
