ticker,Event_Date,CAR_10_10,CAR_4_3,CAR_1,CAR_1_3,id_2,reported_date,gics_sector,overall_sector,employee,breach_type,breach_type2,d_since_breach,total_affected,year,weekday,year_since_ipo,market_cap_m,roa,roe,debt_to_equity,cash_ratio,total_assets_m,breach_size_group,market_cap_group,year_group
AAPL,2022-02-28,-0.06141787116916226,-0.016259621609368943,0.004684786487853063,0.010374041554191657,AAPL2022,28/02/2022,Information Technology,Sensitive,164,INSD,OTHER,91,12,2022,2,8.873972603,2628273.611,0.282924409,1.969588728,2.417469214,0.06703236,352755,Small,Large Cap,modern
ABG,2019-07-26,0.09664204403098708,0.07857418490893685,0.05735723949784377,0.039231199590306166,ABG2019,26/07/2019,Consumer Discretionary,Cyclical,8.5,UNKN,OTHER,73,197,2019,6,15.12054795,1730.5728,0.063339402,0.285316417,1.561194492,0.001202212,2911.3,Small,Small Cap,early
ABT,2016-07-19,0.13418146629389432,0.02126615619540299,0.016600141014155564,0.029614822476314213,ABT2016,19/07/2016,Health Care,Defensive,75,UNKN,OTHER,27,1,2016,3,38.90136986,61993.05621,0.026582615,0.068166326,1.007108774,0.353548779,52666,Small,Large Cap,early
ABT,2019-02-06,-0.050716706354050435,-0.0021806781682612996,-0.0028392902775368854,0.002120368185901672,ABT2019,06/02/2019,Health Care,Defensive,107,PORT,OTHER,18,16600,2019,4,33.43835616,128856.5943,0.05431084,0.118598816,0.607887288,0.056859192,67887,Large,Large Cap,early
ACAD,2024-12-04,0.046422285881173427,0.1622041572010542,-0.0223659167287154,0.10487244894046713,ACAD2024,04/12/2024,Health Care,Defensive,0.654,DISC,DISC,41,1,2024,4,37.81643836,2717.3567,0.190654478,0.309024513,0.070954553,0.269069573,1187.76,Small,Small Cap,recent
ACI,2023-04-21,0.006596749828872426,0.03280032941833599,0.00276862126819475,0.02584077787253624,ACI2023,21/04/2023,Consumer Staples,Defensive,285,HACK,HACK,120,32878,2023,6,31.86027397,12062.44512,0.049425844,0.471701547,5.182675159,0.007196494,26221.1,Large,Large Cap,recent
AIR,2019-08-06,0.09979918965478946,0.021353504827307176,-0.006307240689656397,0.01199039793108752,AIR2019,06/08/2019,Industrials,Cyclical,5.4,HACK,HACK,149,4431,2019,3,33.88219178,1384.92762,0.002116402,0.004874806,0.758475515,0.194660895,2079,Large,Small Cap,early
AIRT,2023-01-30,-0.26787690677161424,-0.07706729658917354,0.018757986527511247,-0.02529749516210236,AIRT2023,30/01/2023,Industrials,Cyclical,0.584,HACK,HACK,288,1604,2023,2,25.18082192,68.25196,-0.064860046,-1.032846102,11.55241935,0.030628501,189.56,Small,Small Cap,recent
AJG,2019-11-26,0.006494906169554299,-0.006973105321635533,0.003709680974810333,0.002446820581402189,AJG2019,26/11/2019,Financials,Cyclical,33.247,DISC,DISC,256,4637,2019,3,27.16164384,17282.76814,0.034061972,0.129725536,0.943342062,0.030802453,19634.8,Large,Large Cap,early
AJG,2021-07-30,-0.021991761699368992,-0.04501110628897408,-3.5775900744597334e-4,-0.018939043847474128,AJG2021,30/07/2021,Financials,Cyclical,39.174,HACK,HACK,422,813120,2021,6,8.731506849,29081.41754,0.027194482,0.10657703,0.757745287,0.012073774,33345,Large,Large Cap,modern
AJG,2022-12-13,-0.03426500322464599,-0.04356384091723161,-7.137340400861793e-4,-0.01025446706851359,AJG2022,13/12/2022,Financials,Cyclical,43.64,HACK,HACK,213,14,2022,3,11.88767123,41056.21836,0.028636931,0.121855724,0.684150663,0.008797722,38907.8,Small,Large Cap,modern
AMED,2015-03-02,-0.1356902516384939,-0.06314338154905746,-0.030553519032413653,-0.09247010444427871,AMED2015,01/03/2015,Health Care,Defensive,16.1,PORT,OTHER,6,6909,2015,2,-6.243835616,1013.92319,-0.004409672,-0.007376065,0.2441597,0.040143924,685.09,Large,Small Cap,early
