ticker;Event_Date;CAR_10_10;CAR_4_3;CAR_1;CAR_1_3;id_2;reported_date;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m;breach_size_group;market_cap_group;year_group;CAR_10_10_post;CAR_6_6_post;CAR_2_6_post;CAR_2_post;sentiment_change;sentiment;cyber_score;cyber_change
AAPL;28-02-2022;-0,061417871;-0,016259622;0,004684786;0,010374042;AAPL2022;28-02-2022;Information Technology;Sensitive;164;INSD;OTHER;91;12;2022;2;8,873972603;2628273,611;0,282924409;1,969588728;2,417469214;0,06703236;352755;Small;Large Cap;modern;-0,073462547;-0,0816388;-0,080963822;-0,015660391;-0,329457365;-0,166666667;0,000477023;-0,000303168
ABG;26-07-2019;0,096642044;0,078574185;0,057357239;0,0392312;ABG2019;26-07-2019;Consumer Discretionary;Cyclical;8,5;UNKN;OTHER;73;197;2019;6;15,12054795;1730,5728;0,063339402;0,285316417;1,561194492;0,001202212;2911,3;Small;Small Cap;early;-0,3067526;-0,020182524;-0,062030926;-0,017457348;-0,026543404;-0,391812865;0,000371018;6,29E-05
ABT;19-07-2016;0,134181466;0,021266156;0,016600141;0,029614822;ABT2016;19-07-2016;Health Care;Defensive;75;UNKN;OTHER;27;1;2016;3;38,90136986;61993,05621;0,026582615;0,068166326;1,007108774;0,353548779;52666;Small;Large Cap;early;0,038502446;0,047417692;0,011757169;0,002838229;-0,144457783;-0,183673469;0,000397519;0,000171436
ABT;06-02-2019;-0,050716706;-0,002180678;-0,00283929;0,002120368;ABT2019;06-02-2019;Health Care;Defensive;107;PORT;OTHER;18;16600;2019;4;33,43835616;128856,5943;0,05431084;0,118598816;0,607887288;0,056859192;67887;Large;Large Cap;early;0,042525085;0,006640659;0,0174889;-0,00879988;-0,05708347;-0,130044843;0,000238512;-1,80E-05
ACAD;04-12-2024;0,046422286;0,162204157;-0,022365917;0,104872449;ACAD2024;04-12-2024;Health Care;Defensive;0,654;DISC;DISC;41;1;2024;4;37,81643836;2717,3567;0,190654478;0,309024513;0,070954553;0,269069573;1187,76;Small;Small Cap;recent;;;;;-0,036306938;-0,18699187;0,001640644;2,96E-05
ACI;21-04-2023;0,00659675;0,032800329;0,002768621;0,025840778;ACI2023;21-04-2023;Consumer Staples;Defensive;285;HACK;HACK;120;32878;2023;6;31,86027397;12062,44512;0,049425844;0,471701547;5,182675159;0,007196494;26221,1;Large;Large Cap;recent;0,008762333;0,015258016;0,017349254;-0,011658828;-0,020320856;-0,529411765;0,001696083;0,000954758
AIR;06-08-2019;0,09979919;0,021353505;-0,006307241;0,011990398;AIR2019;06-08-2019;Industrials;Cyclical;5,4;HACK;HACK;149;4431;2019;3;33,88219178;1384,92762;0,002116402;0,004874806;0,758475515;0,194660895;2079;Large;Small Cap;early;-0,223367663;-0,106856159;-0,069625816;0,032382033;-0,223837209;-0,375;0,000132506;-7,67E-05
AIRT;30-01-2023;-0,267876907;-0,077067297;0,018757987;-0,025297495;AIRT2023;30-01-2023;Industrials;Cyclical;0,584;HACK;HACK;288;1604;2023;2;25,18082192;68,25196;-0,064860046;-1,032846102;11,55241935;0,030628501;189,56;Small;Small Cap;recent;-0,100045479;-0,040847527;-0,046745125;-0,027748986;-0,08045977;-0,620689655;0,000768538;0,000323648
AJG;26-11-2019;0,006494906;-0,006973105;0,003709681;0,002446821;AJG2019;26-11-2019;Financials;Cyclical;33,247;DISC;DISC;256;4637;2019;3;27,16164384;17282,76814;0,034061972;0,129725536;0,943342062;0,030802453;19634,8;Large;Large Cap;early;0,112060586;0,061287934;0,006519227;0,002192093;-0,069851053;-0,296969697;0,000980548;0,000205025
AJG;30-07-2021;-0,021991762;-0,045011106;-0,000357759;-0,018939044;AJG2021;30-07-2021;Financials;Cyclical;39,174;HACK;HACK;422;813120;2021;6;8,731506849;29081,41754;0,027194482;0,10657703;0,757745287;0,012073774;33345;Large;Large Cap;modern;0,0268515;0,004237566;0,006617932;0,000120091;0,12670028;-0,290666667;0,001378068;0,000289234
