cik;filing_year
1336917;2018
33185;2017
732717;2024
27419;2013
895421;2020
1032220;2022
1889539;2023
1428336;2024
1368458;2014
33185;2018
27904;2018
354190;2021
789570;2023
20520;2024
5513;2023
1590895;2023
1032220;2020
1140859;2023
866787;2023
1000228;2023
1428336;2018
794367;2018
1455863;2021
1438133;2020
1227500;2021
794367;2019
315293;2022
1057060;2023
773840;2023
72333;2018
1318605;2023
1359841;2022
1364954;2018
94845;2024
1089063;2024
1543151;2023
927066;2024
732712;2024
49071;2023
1136893;2023
40704;2022
1488917;2021
91440;2022
944148;2023
1144215;2022
92380;2018
799167;2022
895421;2021
1646972;2023
1601712;2018
1452857;2020
15615;2023
1071255;2021
1691303;2023
764478;2018
783325;2023
1800;2019
40570;2022
1650729;2020
1428439;2024
715787;2023
837465;2023
14707;2023
1819395;2022
1055160;2021
726601;2019
1041061;2023
913142;2021
1000623;2022
1093691;2023
860731;2017
1632127;2019
896262;2015
700923;2016
49071;2018
752714;2021
1060391;2021
872589;2024
807707;2020
1071255;2019
1517228;2023
1275014;2020
913142;2020
1318484;2023
891482;2020
1660134;2023
1024305;2018
900075;2014
354190;2019
1750;2019
104169;2019
7536;2010
773840;2021
85961;2021
1177609;2018
1323885;2021
105418;2022
927628;2024
1604821;2019
92380;2023
1020710;2020
790816;2024
97745;2018
1288469;2020
1040829;2016
860731;2021
1297184;2020
46080;2018
49071;2021
1401667;2023
1429260;2022
1690820;2024
73756;2024
1324424;2022
917470;2016
353184;2022
1856236;2023
350698;2014
883569;2019
874396;2021
33185;2015
1179929;2017
1831631;2023
853816;2016
318154;2021
912463;2021
19617;2013
891014;2020
18230;2020
1110611;2021
103730;2020
1049502;2023
1580808;2023
49071;2022
1680873;2023
1038074;2016
77476;2022
1278027;2023
1192448;2021
49071;2019
700923;2020
1370450;2021
5513;2022
822818;2020
1393311;2013
1492422;2024
85961;2019
1364954;2020
1113169;2023
1058090;2024
1875444;2022
1711279;2024
752642;2018
49071;2020
1224608;2021
1104506;2018
1546417;2019
1617406;2019
100493;2018
1283699;2021
913142;2023
104169;2024
1384101;2023
1320461;2023
1515673;2016
1643615;2022
318154;2024
1495320;2016
75362;2018
1171155;2023
1331875;2017
1166388;2018
1144980;2019
827876;2023
1324404;2015
831259;2023
1590895;2022
1464790;2019
1013462;2019
1261654;2010
1807846;2021
723612;2015
62709;2013
1563190;2023
935703;2020
1032220;2022
884144;2023
939767;2013
1058090;2018
917470;2019
84839;2013
26172;2022
1677703;2020
56873;2016
1468174;2017
25445;2016
354190;2022
33185;2014
799167;2023
1584509;2023
320193;2021
1401667;2022
1280058;2023
844965;2016
872589;2010
1280058;2020
1501570;2020
55135;2012
93556;2013
924901;2023
849399;2023
1706431;2021
858877;2011
36029;2018
67716;2019
1889539;2024
700565;2024
1048477;2018
1800;2016
1070494;2024
1331875;2016
1060391;2022
944695;2012
