cik;filing_year;fiscal_year_end;ticker;report_trading_day;id;report_date
1336917;2019;31-12-2018;UAA;29-03-2018;UAA;29-03-2018
33185;2018;31-12-2017;EFX;07-09-2017;EFX;07-09-2017
732717;2025;31-12-2024;T;09-04-2024;T;09-04-2024
27419;2014;01-02-2014;TGT;19-12-2013;TGT;19-12-2013
895421;2021;31-12-2020;MS;10-07-2020;MS;10-07-2020
1032220;2023;30-09-2023;MMS;28-07-2023;MMS;28-07-2023
1889539;2024;31-12-2023;CRBG;27-07-2023;CRBG;27-07-2023
1428336;2025;31-01-2025;HQY;26-07-2024;HQY;26-07-2024
1368458;2015;30-09-2015;SBH;28-05-2015;SBH;28-05-2015
33185;2019;31-12-2018;EFX;01-03-2018;EFX;01-03-2018
27904;2019;31-12-2018;DAL;05-04-2018;DAL;05-04-2018
354190;2022;31-12-2021;AJG;30-07-2021;AJG;30-07-2021
789570;2024;31-12-2023;MGM;05-10-2023;MGM;05-10-2023
20520;2025;31-12-2024;FYBR;06-06-2024;FYBR;06-06-2024
5513;2024;31-12-2023;UNM;03-08-2023;UNM;03-08-2023
1590895;2024;31-12-2023;CZR;06-10-2023;CZR;06-10-2023
1032220;2021;30-09-2021;MMS;18-06-2021;MMS;18-06-2021
1140859;2024;30-09-2024;COR;15-05-2024;COR;15-05-2024
866787;2024;31-08-2024;AZO;21-11-2023;AZO;21-11-2023
1000228;2024;30-12-2023;HSIC;16-10-2023;HSIC;15-10-2023
1428336;2019;31-01-2019;HQY;12-06-2018;HQY;12-06-2018
794367;2019;02-02-2019;M;03-07-2018;M;03-07-2018
1455863;2022;31-12-2021;COLD;04-03-2021;COLD;04-03-2021
1438133;2021;31-12-2020;TNDM;16-03-2020;TNDM;16-03-2020
1227500;2022;31-12-2021;EQBK;30-12-2021;EQBK;30-12-2021
794367;2020;01-02-2020;M;14-11-2019;M;14-11-2019
315293;2023;31-12-2022;AON;26-05-2022;AON;26-05-2022
1057060;2024;30-09-2024;HZO;16-07-2024;HZO;16-07-2024
773840;2024;31-12-2023;HON;16-06-2023;HON;16-06-2023
72333;2019;02-02-2019;JWN;07-11-2018;JWN;07-11-2018
1318605;2024;31-12-2023;TSLA;18-08-2023;TSLA;18-08-2023
1359841;2023;31-12-2022;HBI;16-08-2022;HBI;16-08-2022
1364954;2019;31-12-2018;CHGG;26-09-2018;CHGG;26-09-2018
94845;2025;01-12-2024;LEVI;20-06-2024;LEVI;20-06-2024
1089063;2025;01-02-2025;DKS;29-08-2024;DKS;29-08-2024
1543151;2024;31-12-2023;UBER;31-03-2023;UBER;31-03-2023
927066;2025;31-12-2024;DVA;03-07-2024;DVA;03-07-2024
732712;2025;31-12-2024;VZ;05-02-2024;VZ;05-02-2024
49071;2024;31-12-2023;HUM;15-12-2023;HUM;15-12-2023
1136893;2024;31-12-2023;FIS;21-06-2023;FIS;21-06-2023
40704;2023;28-05-2023;GIS;12-01-2023;GIS;12-01-2023
1488917;2022;30-06-2022;ELMD;09-08-2021;ELMD;09-08-2021
91440;2023;31-12-2022;SNA;07-04-2022;SNA;07-04-2022
944148;2024;31-12-2023;CBZ;01-09-2023;CBZ;01-09-2023
1144215;2023;31-08-2023;AYI;06-12-2022;AYI;06-12-2022
92380;2019;31-12-2018;LUV;20-04-2018;LUV;20-04-2018
799167;2023;31-12-2022;MRTN;25-03-2022;MRTN;25-03-2022
895421;2022;31-12-2021;MS;02-07-2021;MS;02-07-2021
1646972;2024;24-02-2024;ACI;21-04-2023;ACI;21-04-2023
1601712;2019;31-12-2018;SYF;03-12-2018;SYF;03-12-2018
1452857;2021;31-12-2020;SPLP;29-06-2020;SPLP;29-06-2020
15615;2024;31-12-2023;MTZ;20-11-2023;MTZ;20-11-2023
1071255;2022;31-12-2021;GDEN;24-09-2021;GDEN;24-09-2021
1691303;2024;31-12-2023;HCC;13-12-2023;HCC;13-12-2023
764478;2019;02-02-2019;BBY;05-04-2018;BBY;05-04-2018
783325;2024;31-12-2023;WEC;10-08-2023;WEC;10-08-2023
1800;2020;31-12-2019;ABT;06-02-2019;ABT;06-02-2019
40570;2023;30-09-2023;JOB;07-10-2022;JOB;07-10-2022
1650729;2021;03-01-2021;SITE;30-10-2020;SITE;30-10-2020
1428439;2025;31-12-2024;ROKU;12-04-2024;ROKU;12-04-2024
715787;2024;31-12-2023;TILE;11-08-2023;TILE;11-08-2023
837465;2024;31-12-2023;MODG;07-08-2023;MODG;07-08-2023
14707;2024;03-02-2024;CAL;01-09-2023;CAL;01-09-2023
1819395;2023;31-12-2022;SOND;14-11-2022;SOND;14-11-2022
1055160;2022;31-12-2021;MFA;01-09-2021;MFA;01-09-2021
726601;2020;31-12-2019;CCBG;22-01-2019;CCBG;22-01-2019
1041061;2024;31-12-2023;YUM;18-01-2023;YUM;18-01-2023
913142;2022;31-12-2021;BDC;05-04-2021;BDC;02-04-2021
1000623;2023;31-12-2022;MATV;03-10-2022;MATV;03-10-2022
1093691;2024;31-12-2023;PLUG;15-12-2023;PLUG;15-12-2023
860731;2018;31-12-2017;TYL;13-03-2017;TYL;13-03-2017
1632127;2020;31-12-2019;CABO;08-08-2019;CABO;08-08-2019
896262;2016;31-12-2015;AMED;02-03-2015;AMED;01-03-2015
700923;2017;31-12-2016;MYRG;16-05-2016;MYRG;16-05-2016
49071;2019;31-12-2018;HUM;04-06-2018;HUM;04-06-2018
752714;2022;31-12-2021;MGRC;15-12-2021;MGRC;15-12-2021
1060391;2022;31-12-2021;RSG;20-09-2021;RSG;20-09-2021
872589;2025;31-12-2024;REGN;22-05-2024;REGN;22-05-2024
807707;2021;28-02-2021;VOXX;28-09-2020;VOXX;28-09-2020
1071255;2020;31-12-2019;GDEN;07-11-2019;GDEN;07-11-2019
1517228;2024;31-12-2023;COMM;12-05-2023;COMM;12-05-2023
1275014;2021;25-12-2020;UCTT;23-10-2020;UCTT;23-10-2020
913142;2021;31-12-2020;BDC;14-12-2020;BDC;14-12-2020
1318484;2024;03-02-2024;CTRN;22-06-2023;CTRN;22-06-2023
891482;2021;31-12-2020;FLL;27-08-2020;FLL;27-08-2020
1660134;2024;31-01-2024;OKTA;01-11-2023;OKTA;01-11-2023
1024305;2019;30-06-2019;COTY;03-07-2018;COTY;03-07-2018
900075;2015;31-07-2015;CPRT;27-05-2015;CPRT;27-05-2015
354190;2020;31-12-2019;AJG;26-11-2019;AJG;26-11-2019
1750;2020;31-05-2020;AIR;06-08-2019;AIR;06-08-2019
104169;2020;31-01-2020;WMT;17-10-2019;WMT;17-10-2019
7536;2011;31-12-2010;ARW;03-03-2010;ARW;03-03-2010
773840;2022;31-12-2021;HON;30-04-2021;HON;30-04-2021
85961;2022;31-12-2021;R;08-06-2021;R;08-06-2021
1177609;2019;02-02-2019;FIVE;05-10-2018;FIVE;05-10-2018
1323885;2022;31-12-2021;ATRC;04-06-2021;ATRC;04-06-2021
105418;2023;31-12-2022;WMK;25-11-2022;WMK;25-11-2022
927628;2025;31-12-2024;COF;06-11-2024;COF;06-11-2024
1604821;2020;31-12-2019;NTRA;15-07-2019;NTRA;15-07-2019
92380;2024;31-12-2023;LUV;23-06-2023;LUV;23-06-2023
1020710;2021;31-12-2020;DXPE;09-10-2020;DXPE;09-10-2020
