Word;Negative;Positive;Uncertainty;Litigious;Strong_Modal;Weak_Modal;Constraining;Complexity;Syllables
ABANDON;1;0;0;0;0;0;0;0;3
ABANDONED;1;0;0;0;0;0;0;0;3
ABANDONING;1;0;0;0;0;0;0;0;4
ABANDONMENT;1;0;0;0;0;0;0;0;4
ABANDONMENTS;1;0;0;0;0;0;0;0;4
ABANDONS;1;0;0;0;0;0;0;0;3
ABDICATED;1;0;0;0;0;0;0;0;4
ABDICATES;1;0;0;0;0;0;0;0;3
ABDICATING;1;0;0;0;0;0;0;0;4
ABDICATION;1;0;0;0;0;0;0;0;4
ABDICATIONS;1;0;0;0;0;0;0;0;4
ABERRANT;1;0;0;0;0;0;0;0;3
ABERRATION;1;0;0;0;0;0;0;0;4
ABERRATIONAL;1;0;0;0;0;0;0;0;5
ABERRATIONS;1;0;0;0;0;0;0;0;4
ABETTING;1;0;0;0;0;0;0;0;3
ABEYANCE;0;0;1;0;0;0;0;0;3
ABEYANCES;0;0;1;0;0;0;0;0;4
ABIDE;0;0;0;0;0;0;1;0;2
ABIDING;0;0;0;0;0;0;1;0;3
ABLE;0;1;0;0;0;0;0;0;2
ABNORMAL;1;0;0;0;0;0;0;0;3
ABNORMALITIES;1;0;0;0;0;0;0;0;5
ABNORMALITY;1;0;0;0;0;0;0;0;5
ABNORMALLY;1;0;0;0;0;0;0;0;4
ABOLISH;1;0;0;0;0;0;0;0;3
ABOLISHED;1;0;0;0;0;0;0;0;3
ABOLISHES;1;0;0;0;0;0;0;0;4
ABOLISHING;1;0;0;0;0;0;0;0;4
ABOVEMENTIONED;0;0;0;1;0;0;0;0;4
ABROGATE;1;0;0;1;0;0;0;0;3
ABROGATED;1;0;0;1;0;0;0;0;4
ABROGATES;1;0;0;1;0;0;0;0;3
ABROGATING;1;0;0;1;0;0;0;0;4
ABROGATION;1;0;0;1;0;0;0;0;4
ABROGATIONS;1;0;0;1;0;0;0;0;4
ABRUPT;1;0;0;0;0;0;0;0;2
ABRUPTLY;1;0;0;0;0;0;0;0;3
ABRUPTNESS;1;0;0;0;0;0;0;0;3
ABSENCE;1;0;0;0;0;0;0;0;2
ABSENCES;1;0;0;0;0;0;0;0;3
ABSENTEEISM;1;0;0;0;0;0;0;0;5
ABSOLVE;0;0;0;1;0;0;0;0;2
ABSOLVED;0;0;0;1;0;0;0;0;2
ABSOLVES;0;0;0;1;0;0;0;0;2
ABSOLVING;0;0;0;1;0;0;0;0;3
ABUNDANCE;0;1;0;0;0;0;0;0;3
ABUNDANT;0;1;0;0;0;0;0;0;3
ABUSE;1;0;0;0;0;0;0;0;2
ABUSED;1;0;0;0;0;0;0;0;2
ABUSES;1;0;0;0;0;0;0;0;3
ABUSING;1;0;0;0;0;0;0;0;3
ABUSIVE;1;0;0;0;0;0;0;0;3
ABUSIVELY;1;0;0;0;0;0;0;0;4
ABUSIVENESS;1;0;0;0;0;0;0;0;4
ACCESSION;0;0;0;1;0;0;0;0;3
ACCESSIONS;0;0;0;1;0;0;0;0;3
ACCIDENT;1;0;0;0;0;0;0;0;3
ACCIDENTAL;1;0;0;0;0;0;0;0;4
ACCIDENTALLY;1;0;0;0;0;0;0;0;5
ACCIDENTS;1;0;0;0;0;0;0;0;3
ACCLAIMED;0;1;0;0;0;0;0;0;2
ACCOMPLISH;0;1;0;0;0;0;0;0;3
ACCOMPLISHED;0;1;0;0;0;0;0;0;3
ACCOMPLISHES;0;1;0;0;0;0;0;0;4
ACCOMPLISHING;0;1;0;0;0;0;0;0;4
ACCOMPLISHMENT;0;1;0;0;0;0;0;0;4
ACCOMPLISHMENTS;0;1;0;0;0;0;0;0;4
ACCRUES;0;0;0;0;0;0;0;1;2
ACCUSATION;1;0;0;0;0;0;0;0;4
ACCUSATIONS;1;0;0;0;0;0;0;0;4
ACCUSE;1;0;0;0;0;0;0;0;2
ACCUSED;1;0;0;0;0;0;0;0;2
ACCUSES;1;0;0;0;0;0;0;0;3
ACCUSING;1;0;0;0;0;0;0;0;3
ACHIEVE;0;1;0;0;0;0;0;0;2
ACHIEVED;0;1;0;0;0;0;0;0;2
ACHIEVEMENT;0;1;0;0;0;0;0;0;3
ACHIEVEMENTS;0;1;0;0;0;0;0;0;3
ACHIEVES;0;1;0;0;0;0;0;0;2
ACHIEVING;0;1;0;0;0;0;0;0;3
ACQUIESCE;1;0;0;0;0;0;0;0;3
ACQUIESCED;1;0;0;0;0;0;0;0;3
ACQUIESCES;1;0;0;0;0;0;0;0;4
ACQUIESCING;1;0;0;0;0;0;0;0;4
ACQUIREES;0;0;0;1;0;0;0;0;3
ACQUIRORS;0;0;0;1;0;0;0;0;3
ACQUIT;1;0;0;1;0;0;0;0;2
ACQUITS;1;0;0;1;0;0;0;0;2
ACQUITTAL;1;0;0;1;0;0;0;0;3
ACQUITTALS;1;0;0;1;0;0;0;0;3
ACQUITTANCE;0;0;0;1;0;0;0;0;3
ACQUITTANCES;0;0;0;1;0;0;0;0;4
ACQUITTED;1;0;0;1;0;0;0;0;3
